question,correct_answer,option_b,option_c,option_d,category
"Who sang the title song for the latest Bond film, No Time to Die?",Billie Eilish,Adele,Sam Smith,Rihanna,Entertainment
"Which country flies a green, white, and orange tricolor flag?",Ireland,Ivory Coast,Italy,Portugal,Geography
What company makes the Xperia model of smartphone?,Sony,Samsung,Nokia,Apple,Technology
Which city is home to the Brandenburg Gate?,Berlin,Vienna,Zurich,Munich,Geography
Which of the following is NOT a fruit?,Rhubarb,Tomatoes,Avocados,Cucumbers,Food & Drink
Where was the first example of paper money used?,China,Turkey,Greece,India,History
Who is generally considered the inventor of the motor car?,Karl Benz,Henry Ford,Henry M. Leland,Gottlieb Daimler,History
"If you were looking at Iguazu Falls, on what continent would you be?",South America,Asia,Africa,Europe,Geography
What number was the Apollo mission that first put a man on the moon?,Apollo 11,Apollo 12,Apollo 13,Apollo 9,Science
Which of the following languages has the longest alphabet?,Russian,Greek,Arabic,Hebrew,Language
Who was the lead singer of the band The Who?,Roger Daltrey,Don Henley,Robert Plant,Mick Jagger,Music
What spirit is used in making a Tom Collins?,Gin,Vodka,Rum,Tequila,Food & Drink
The fear of insects is known as what?,Entomophobia,Arachnophobia,Ailurophobia,Cynophobia,Science
What was the name of the Franco-British supersonic commercial plane (1976-2003)?,Concorde,Accord,Mirage,Falcon,History
Which horoscope sign is represented by a fish?,Pisces,Aquarius,Cancer,Scorpio,General Knowledge
What is the largest US state by landmass?,Alaska,Texas,California,Montana,Geography
Which Game of Thrones character is known as the Young Wolf?,Robb Stark,Arya Stark,Sansa Stark,Jon Snow,Entertainment
What city hosted the 2000 Summer Olympic Games?,Sydney,Tokyo,Beijing,Atlanta,Sports
How many plays did Shakespeare write?,37,27,47,52,Literature
Which of the following was considered one of the Seven Ancient Wonders?,Colossus of Rhodes,Colosseum,Great Wall of China,Stonehenge,History
Who directed the Academy Award-winning movie Gladiator?,Ridley Scott,James Cameron,Steven Soderbergh,Peter Jackson,Entertainment
What Italian city is famous for its system of canals?,Venice,Rome,Naples,Florence,Geography
What is the strongest muscle in the human body?,Jaw,Heart,Glutes,Biceps,Science
What is the longest-running Broadway show ever?,The Phantom of the Opera,Les Miserable,The Lion King,Chicago,Entertainment
Where was tea invented?,China,England,USA,India,Food & Drink
Where was the earliest documented case of the Spanish flu?,USA,Spain,Mexico,France,History
Which of the following languages is NOT derived from Latin?,English,French,Portuguese,Spanish,Language
Arnold Schwarzenegger was married to a member of what famous US political family?,The Kennedys,The Bushes,The Rockefellers,The Clintons,General Knowledge
What was the original name of Mickey Mouse?,Mortimer Mouse,The Rat,Marvin Mouse,Marshall Mouse,Entertainment
Which superhero with alter ego Wade Wilson was played by Ryan Reynolds in 2016?,Deadpool,Black Panther,Ant-Man,Hawkeye,Entertainment
Who sings Poker Face?,Lady Gaga,Madonna,Taylor Swift,Kelly Clarkson,Music
What did Aladdin steal in the marketplace at the beginning of Aladdin?,Bread,Apple,Rice,Gold,Entertainment
Stark Industries is associated with which fictional superhero?,Iron Man,Iron Fist,Hulk,Captain America,Entertainment
"In Zootopia, Officer Judy Hopps is what kind of animal?",Rabbit,Kangaroo,Deer,Fox,Entertainment
Which superhero gains transformation following accidental exposure to gamma rays?,Hulk,Iron Man,The Human Flame,Silver Surfer,Entertainment
What are the names of Cinderella's evil stepsisters?,Anastasia and Drizella,Gizelle and Anabelle,Florence and Marge,Pam and Shirley,Entertainment
Mary Jane Watson was portrayed by which actress in Sam Raimi's Spider-Man films?,Kirsten Dunst,Stephanie Tyler,Zendaya,Shailene Woodley,Entertainment
Which College Is Elle Applying For In Legally Blonde?,Harvard,Yale,Duke,Princeton,Entertainment
"In Harry Potter, who is Fluffy?",Hagrid's 3-Headed Dog,Harry's Owl,Hagrid's Dragon,Hermione's Cat,Entertainment
What's the name of the sword in The Sword In The Stone?,Excalibur,Glamdring,Callandor,Durandal,Entertainment
